sku,brand,quantity,price,price_if_discounted,pos_in_pg,stock,description,report_time
Boost Chocolate Drink Jar,Boost,400 gm,400.0,381.0,2,5,"It's not just nutrition, it's intelligent nutrition. Boost Chocolate Jar is an excellent source of many key nutrients. Each drink offers unique nutritional solutions that help to meet a wide variety of dietary needs. Discover the health benefits of each Boost Drink, and how they can help keep you at your best.",2023-02-22 10:58:42
Boost Iced Coffee Caffe Latte,Boost,250 ml,260.0,,7,0,,2023-02-22 10:58:42
Pepsodent Toothpaste Germi Check +,Pepsodent,200 gm,160.0,,1,66,"For strong, white teeth, get the Germi Check Toothpaste from Pepsodent. The superior germ attack power helps fight cavity-causing germs even hours after Brushing and the advanced formula gives you complete oral care solution. Formulated with fluoride and triclosan, this toothpaste ensures that you have a long-lasting fresh breath. It reduces stains and food remains, giving you plaque-free and germ-free teeth. Along with maintaining your teeth's health, this toothpaste prevents your gums from damage too. The perfect oral care solution for your family. Start Shopping Now!",2023-02-22 10:59:50
Pepsodent Toothpaste Charcoal White,Pepsodent,90 gm,75.0,,2,89,,2023-02-22 11:00:16
Pepsodent Toothpaste Germi Check +,Pepsodent,100 gm,100.0,,3,166,"For strong, white teeth, get the Germi Check Toothpaste from Pepsodent. The superior germ attack power helps fight cavity-causing germs even hours after Brushing and the advanced formula gives you complete oral care solution. Formulated with fluoride and triclosan, this toothpaste ensures that you have a long-lasting fresh breath. It reduces stains and food remains, giving you plaque-free and germ-free teeth. Along with maintaining your teeth's health, this toothpaste prevents your gums from damage too. The perfect oral care solution for your family. Start Shopping Now!",2023-02-22 11:01:06
Pepsodent Toothpaste Sensitive Expert Professional,Pepsodent,140 gm,135.0,,4,99,,2023-02-22 11:01:49
Pepsodent Toothpaste Charcoal White,Pepsodent,140 gm,110.0,,5,14,,2023-02-22 11:01:58
Pepsodent Toothpaste Sensitive Expert Fresh,Pepsodent,140 gm,160.0,149.0,7,5,,2023-02-22 11:02:03
Pepsodent Toothpaste Germi Check + (Free Toothbrush),Pepsodent,200 gm,140.0,,8,0,,2023-02-22 11:02:04
Pepsodent Toothpaste Kids Strawbery,Pepsodent,45 gm,75.0,,9,8,Pepsodent Toothpaste Kids Strawbery 45 gm,2023-02-22 11:02:11
Pepsodent Toothbrush Gum Care Medium,Pepsodent,each,90.0,,11,33,,2023-02-22 11:02:27
Pepsodent Tooth Powder,Pepsodent,100 gm,50.0,,12,19,"It fights germs & protects teeth from decay. For strong teeth & freshness, use Pepsodent Toothpowder",2023-02-22 11:02:38
Pepsodent Awesome Orange Toothpaste,Pepsodent,45 gm,75.0,,13,54,Your kids will love the gentle formula of Pepsodent Kids Sweet Strawberry Toothpaste with strawberry flavor. This will protect their teeth from cavity and strengthen their enamel.,2023-02-22 11:03:02
Pepsodent Toothpaste Sensitive Expert Gum Care,Pepsodent,140 gm,180.0,,14,14,,2023-02-22 11:03:11
Pepsodent Toothpaste Sensitive Expert Professional 140 gm (Free Toothbrush 2 pcs),Pepsodent,2 pcs,270.0,,15,0,Buy Pepsodent Toothpaste Sensitive Expert Professional 140 gm 2 pcs And Get Pepsodent Toothbrush Himalaya Rock Salt Soft 2 pcs Free.,2023-02-22 11:03:11
Pepsodent Toothpaste Germi Check + (Free Toothbrush Triple clean 1 pcs),Pepsodent,200 gm,140.0,,17,0,Buy Pepsodent Toothpaste Germi Check + 200 gm And Get Toothbrush Triple clean 1 pcs Free.,2023-02-22 11:03:12
Pepsodent Toothpaste Sensitive Expert Professional (Free Toothbrush 1 pcs),Pepsodent,140 gm,135.0,,18,0,Buy Pepsodent Toothpaste Sensitive Expert Professional 140 gm And Get Pepsodent Toothbrush Himalaya Rock Salt Soft 1 pcs Free.,2023-02-22 11:03:13
Pepsodent Toothpaste Sensitive Expert Fresh (Free Toothbrush),Pepsodent,140 gm,160.0,,19,0,,2023-02-22 11:03:13
St. Ives Soothing Sheet Mask With Oatmeal,St. Ives,23 ml,150.0,,1,3,"Peace out, dehydrated skin! Inspired by Korean beauty trends, we put plenty of oatmeal extract into this 100% cotton sheet mask to give your face the instant moisture it craves, whenever it craves. The St. Ives Soothing Oatmeal Sheet Mask gently soothes your skin, leaving it soft and supple. Keep calm and soothe on! Give yourself this 10-minute #EverydayFacial and ditch the dull! • Made with 100% natural extracts • Mask made with 100% cotton • Paraben-free • Dermatologist-tested How to use: Step 1: To hydrate skin quickly, unfold mask and place over clean, dry skin. Step 2: Smooth to fit face, adjusting around eyes, nose, and mouth. Step 3: Leave on for 10 minutes and soak in the magic! Step 4: Remove mask and pat any remaining serum until absorbed. No need to rinse—just glow and go!",2023-02-22 11:04:34
"St. Ives Glowing, Revitalizing & Soothing Sheet Mask (3x23ml) Combo Pack",St. Ives,3 pcs,450.0,,2,2,"St. Ives brings you an exclusive combo of three (3) St. Ives Sheet Masks 23ml: Glowing Sheet Mask with Apricot, Revitalizing Sheet Mask with Superfoods and Soothing Sheet Mask with Oatmeal. NOW SAVE BDT 51 St. Ives Glowing Sheet Mask with Apricot 23ml: Signature apricot extracts are now in a hydrating sheet mask. Inspired by Korean beauty trends, this mask is made for extra-thirsty skin. Try it during your next binge-watch-athon or flight—whenever you need a dose of instant glow! St. Ives Revitalizing Sheet Mask with Superfoods 23ml: A superfood smoothie for your face. Inspired by Korean beauty trends, this sheet mask soaked in chia seed extracts for intense hydration in an instant. Use during your next TV binge sesh, on a plane, or whenever skin feels extra-thirsty! St. Ives Soothing Sheet Mask with Oatmeal 23ml: Peace out, dehydrated skin! Inspired by Korean beauty trends, we put plenty of oatmeal extract into this 100% cotton sheet mask to give your face the instant moisture it craves, whenever it craves. The St. Ives Soothing Oatmeal Sheet Mask gently soothes your skin, leaving it soft and supple. Keep calm and soothe on!Give yourself this 10-minute #EverydayFacial and ditch the dull! Benefits: • Made with 100% natural extracts • Mask made with 100% cotton • Paraben-free • Dermatologist-tested How to use: Step 1: To hydrate skin quickly, unfold mask and place over clean, dry skin. Step 2: Smooth to fit face, adjusting around eyes, nose, and mouth. Step 3: Leave on for 10 minutes and soak in the magic! Step 4: Remove mask and pat any remaining serum until absorbed. No need to rinse—just glow and go! Limited stock available. So, hurry up, grab this combo today & SAVE BDT 51 .",2023-02-22 11:04:41
St. Ives Glowing Sheet Mask With Apricot,St. Ives,23 ml,150.0,,3,0,"Signature apricot extracts are now in a hydrating sheet mask. Inspired by Korean beauty trends, this mask is made for extra-thirsty skin. Try it during your next binge-watch-athon or flight—whenever you need a dose of instant glow! • Made with 100% natural extracts • Mask made with 100% cotton • Paraben-free • Dermatologist-tested How to use: Step 1: To hydrate skin quickly, unfold mask and place over clean, dry skin. Step 2: Smooth to fit face, adjusting around eyes, nose, and mouth. Step 3: Leave on for 10 minutes and soak in the magic! Step 4: Remove mask and pat any remaining serum until absorbed. No need to rinse—just glow and go!",2023-02-22 11:04:42
St. Ives Energizing Coconut & Coffee Face Scrub,St. Ives,170 gm,450.0,,4,0,"Energize dull, tired skin with the smell of fresh coffee beans and deeply exfoliating 100% natural walnut shell powder. This coffee face scrub will leave skin looking and feeling fresh. • Made with 100% natural exfoliates • Oil-free • Paraben-free • Dermatologist-tested • Non-comedogenic How to use Step 1: Squeeze a dime sized amount of Radiant Skin Pink Lemon & Mandarin Orange Scrub onto your fingertips and massage onto damp skin. Step 2: Spread in small circular motions, applying gentle pressure to wake your skin’s natural circulation. Step 3: Work all over, right up to your hairline and onto the sides of your nose. Step 4: When you’re done, rinse and pat dry with a clean towel. Step 5: Use 3 to 4 times a week (depending on skin) for best results.",2023-02-22 11:04:43
